"","X.link.","X.title.","X.time.","X.text."
"159","https://us.battle.net/forums/en/overwatch/topic/20760676918","Walk on water",NA,"I agree widow requires a much higher skill to play her than other heros so that just plat scoring should rething you are an 1850 widow main vs a 2550 mercy main you are prob a more skillful fps player based on that just making a crude guesstimate"
"160","https://us.battle.net/forums/en/overwatch/topic/20760676918","Walk on water",NA,"&lt;- has played ranks bronze though gold.  I'm going to make this very clear.  Ranks Bronze though Gold are collectively bad at snipers.  In all the games I have played, I could only trust two Ana one tricks to heal me as a tank.  A stupid high amount of widows are body shot widows.  Then there are hanzos that seem to get most their kills off of scatter shot. If I had it my way, hero selection would be restricted so snipers could not be picked in Bronze though Gold competitive.  The consistency is so bad."
"161","https://us.battle.net/forums/en/overwatch/topic/20760676918","Walk on water",NA,"12/22/2017 08:24 AMPosted by KiloCycle&lt;- has played ranks bronze though gold.  I'm going to make this very clear.  Ranks Bronze though Gold are collectively bad at snipers.  In all the games I have played, I could only trust two Ana one tricks to heal me as a tank.  A stupid high amount of widows are body shot widows.  Then there are hanzos that seem to get most their kills off of scatter shot. If I had it my way, hero selection would be restricted so snipers could not be picked in Bronze though Gold competitive.  The consistency is so bad.So you would say these heros are just too hardWhats your arguement for the original poster in question with 55% win rate and 15 hours in comp on widow?Surely they are playing widow well enough to be contributing and arguably nore with &gt;50pc win rate so why whouldnt they be allowed to play a sniper.Maybe they would be a plat solider which i think is their point but thats a diff issue to banning then from low level comp"
"162","https://us.battle.net/forums/en/overwatch/topic/20760676918","Walk on water",NA,"12/22/2017 04:39 AMPosted by Mi33edI will vid a whole match only prob is how to as my fps seems to fall anyone know how to  record a game without fps drops?For everyone’s general knowledge. OBS is an amazing free recording/streaming program."
"163","https://us.battle.net/forums/en/overwatch/topic/20760676918","Walk on water",NA,"12/22/2017 08:45 AMPosted by Urso12/22/2017 04:39 AMPosted by Mi33edI will vid a whole match only prob is how to as my fps seems to fall anyone know how to  record a game without fps drops?For everyone’s general knowledge. OBS is an amazing free recording/streaming program.Thanks will try and upload  a game for the doubters Not sure what it will show but i think people will be surprised how goot mechanically you have to be to be even a silver widowNow silver is a v v bad rank i dont dispute that im saying you need to be average mecanically to be a silver widow"
"178","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo","2017-12-21 21:39:00","This is the one thing she needs to be perfect.The reload speed is crippling in almost every case. not to mention the ammo she has is lacking.Either one of these buffs would work she just needs to have a better time shooting."
"179","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"No, that would increase her healing output which she really doesn't need. She needs something that will increase her survivability, like shorter sleep CD and the casting time from it removed."
"180","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"I'd like to try an Ana where she self heals on reload, getting a bigger heal depending on how much ammo got replenished ( so an Ana that heals from an empty gun would get healed more than Ana that reloaded early.)"
"181","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"Ana needs things likeAmmo increased to 12A Passive that allows her to heal herself whenever she restores teammate health. Nano Boost needs a healing effect added to it so the person shot with it gets healing (250 burst heal and the same effect as her grenade; briefly receive increased healing from all sources). Additionally, Nano Boost should increase the person shot by it own healing effect/output. What I mean is shooting a Lucio/Mercy/Zenyatta won't be wasted. Their healing output would be increased which is a plus and it still an assist.I am still for Ana getting a damage buff increased to 75 instead of 70. 75 is perfect for her to be honest. I think the Grenade needs to be reduced in cooldown slightly. It's 10 seconds but I always wanted it to be 8 seconds.These are just my thoughts."
"182","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 01:44 PMPosted by UngodNo, that would increase her healing output which she really doesn't need. She needs something that will increase her survivability, like shorter sleep CD and the casting time from it removed.Increasing her survivability is something that would happen if this buff went through."
"183","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"That moment when your entire team dies while you're reloading..I have severe PTSD from remembering those days."
"184","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"Bump"
"185","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 01:44 PMPosted by UngodNo, that would increase her healing output which she really doesn't need. She needs something that will increase her survivability, like shorter sleep CD and the casting time from it removed.Increased survivability means fewer defensive uses of Biotic Grenade, which in turn means greater healing/damage throughput. You cannot avoid that."
"186","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"I was thinking and saying this to my friends. They all said that would be too op, but I think she should be faster to reload, she is an old soldier."
"187","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"I feel like the ow community has the memory of a toddler and want to return everything that was nerfed about ana to get her back to her broken op state"
"188","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"If only she could nano herself in ffa. The dream."
"189","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"I have notice this weird delay when reloading. look at it closely... It is like when You run out of ammo, she kinda looks at the riffle and is like “oh damn no more ammo? Time to reload.” it makes the reload feel sluggish"
"190","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 01:44 PMPosted by UngodNo, that would increase her healing output which she really doesn't need. She needs something that will increase her survivability, like shorter sleep CD and the casting time from it removed.And more healing is a bad thing because?"
"191","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 01:46 PMPosted by RagologyI'd like to try an Ana where she self heals on reload, getting a bigger heal depending on how much ammo got replenished ( so an Ana that heals from an empty gun would get healed more than Ana that reloaded early.)This is actually one of the best ideas i've seen so far"
"192","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 02:40 PMPosted by fairtodairIf only she could nano herself in ffa. The dream.Yes, she worthless in FFA."
"193","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 02:26 PMPosted by HisakiIncreased survivability means fewer defensive uses of Biotic Grenade, which in turn means greater healing/damage throughput. You cannot avoid that.This. Ana getting self-heal will broke biotic nade, since you can throw it on enemies/allies every 12sec.The only buff i really want, is his nade affecting Tracer's recall. This can help her to survive a little more on Master/GM (since Tracer should retreat even if he recall), and can be a little nerf to Tracer, who is in every game there."
"194","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 01:39 PMPosted by KagrenacThis is the one thing she needs to be perfect.I disagree. In order to be perfect, she needs to be able to administer self-Nano."
"195","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 01:58 PMPosted by BlazeNarutoAna needs things likeAmmo increased to 12A Passive that allows her to heal herself whenever she restores teammate health. Nano Boost needs a healing effect added to it so the person shoot with it gets healing (250 burst heal and the same effect as her grenade; briefly receive increased healing from all sources). Additionally, Nano Boost should increase the person shot by it own healing effect/output. What I mean is shooting a Lucio/Mercy/Zenyatta won't be wasted. Their healing output would be increased which is a plus and it still an assist.I am still for Ana getting a damage buff increased to 75 instead of 70. 75 is perfect for her to be honest. I think the Grenade needs to be reduced in cooldown slightly. It's 10 seconds but I always wanted it to be 8 seconds.These are just my thoughts.Ana needs Buffs, but all of those combined would make her seriously OP. I suggest 2-3 or them. Everyone thinks that Ana is in a bad spot right now, but the reality is that Mercy is super OP and simply Outclasses Ana. I feel like we should wait until Mercy is balanced until we start claiming that Ana is in desperate need of so many buffs."
"196","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"I like the idea of increasing her clip size or diminishing her reloding time, sadly not bothI also played low gravity today and finding different spots on a map with Ana felt amazing, can't really suggest for them to add low gravity on Ana's jump but if somehow they could increase her jump height it would be just great!"
"197","https://us.battle.net/forums/en/overwatch/topic/20760756707","Ana, Faster reload or more ammo",NA,"12/21/2017 02:47 PMPosted by Abuelita12/21/2017 01:44 PMPosted by UngodNo, that would increase her healing output which she really doesn't need. She needs something that will increase her survivability, like shorter sleep CD and the casting time from it removed.And more healing is a bad thing because?Because she is already extremely good at it, she just doesn't do sustain healing, she does burst healing. So while she doesn't get the numbers Mercy does she can actually save lives in the middle of an intense fire fight. This change would give her good sustain and burst which is OP and would also bring back the tank meta. The only way something like this would make sense is if they removed the bonus healing from nade or made it only 25%. Ana does not need more healing."
"198","https://us.battle.net/forums/en/overwatch/topic/20760756707?page=2#post-22","Ana, Faster reload or more ammo","2017-12-22 16:15:00","12/21/2017 03:49 PMPosted by BREMiJASSEY12/21/2017 01:39 PMPosted by KagrenacThis is the one thing she needs to be perfect.I disagree. In order to be perfect, she needs to be able to administer self-Nano.That would only help in deathmatch. There's no reason for her to be able to do that in a normal game. Many Ana's would use that to troll instead."
"199","https://us.battle.net/forums/en/overwatch/topic/20760756707?page=2#post-22","Ana, Faster reload or more ammo",NA,"12/22/2017 08:15 AMPosted by KagrenacThat would only help in deathmatch. There's no reason for her to be able to do that in a normal game. Many Ana's would use that to troll instead.I agree, there's not particular reason for Ana to self nano since it's mostly an offensive buff and Ana's character isn't particularly offensive"
"200","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes","2017-12-22 19:02:00","Doing my daily post to let everyone remember that paid loot boxes are annoying as hell and no one should support them. instead, we should be aloud to pay for skins directly or even be able to exchange money for currency like MOST GAMES.beep beep:https://youtu.be/Ce5CDrq4dGgIn all seriousness though. I've felt this way LONG before Jim's video. I don't care about free loot boxes so don't bring that sass here. Stop letting loot boxes rule your lives. FREEDOM OF CHOICE PEOPLE!"
"201","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"Just play the game and you get lootboxes for free.  No need to pay for them to begin with.Plus, each of the holiday events is recursive.  When they do come back, each event has all of the previous skins available for regular price, not triple.Have patience."
"202","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:02 AMPosted by Mocrenpaid loot boxes are not annoying as hell You're sending me mixed signals here."
"203","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"Counterpoint, Overwatch's lootboxes are fine."
"204","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"As long as I can earn loot boxes for free, through regular gameplay, and loot box contents don't give an advantage, I really don't give a damn if they can be paid for. I haven't spent a dime on loot boxes since the game was released."
"205","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"If you don’t want to buy them, then don’t. Many of us do, including myself, because I have fun doing so. Your opinion isn’t everyone’s and you’re not going to change my mind on what I want to do with my money."
"206","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:06 AMPosted by MissGunfirepaid loot boxes are not annoying as hell You're sending me mixed signals here. haha, thanks for correcting me :P"
"207","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"Doing my daily post to remind you that nobody cares"
"208","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"If this is gonna be a daily thing woth the same content is it considered spam? I think it is. #reported"
"209","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"This is why I can't stand when people bring up free loot boxes. I can't play overwatch like it's a full time job! And the ""have some patience there is always next year"". I'd rather not play the game so I don't have too look at the other players who DID get the skin I wanted to I don't have to swallow my sorrows, which in fact is the case right now. Before people say, ""okay, so you don't play overwatch then why are you here?"" I care about overwatch because I loved the game on release. It's the paid loot boxes that have ruined the experience for me. I want my right to dress up my imaginary toons in the way the fits my interests. COSMETICS DO MATTER YOU IGNORAMUSES!"
"210","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"They bother me SO MUCH that I'm going to go home and buy a few today!Honestly what is with these crusades against loot boxes?  If you don't like em, don't buy em.  Simple as that.  I like them.  I embrace the RNG.But getting upset because you can't play dress-up with video game characters?  That's just sad, really.12/22/2017 11:14 AMPosted by RiotRhythmDoing my daily post to remind you that nobody caresThis guy gets it!"
"211","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"We don't need more hate here."
"212","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:21 AMPosted by MocrenThis is why I can't stand when people bring up free loot boxes. I can't play overwatch like it's a full time job! And the ""have some patients there is always next year"". I'd rather not play the game so I don't have too look at the other players who DID get the skin I wanted to I don't have to swallow my sorrows, which in fact is the case right now. Before people say, ""okay, so you don't play overwatch then why are you here?"" I care about overwatch because I loved the game on release. It's the paid loot boxes that have ruined the experience for me. I want my right to dress up my imaginary toons in the way the fits my interests. COSMETICS DO MATTER YOU IGNORAMUSES!No, cosmetics add literally nothing to the gameplay itself.  You don't get an advantage just for having certain colored pixels."
"213","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"Sorry you can't pull all the aesthetic only skins you want in life"
"214","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:21 AMPosted by MocrenI want my right to dress up my imaginary toons in the way the fits my interests. COSMETICS DO MATTER YOU IGNORAMUSES!You don't need to be obnoxious, no here said they don't matter. Most people argue against being able to purchase lootboxes since ""muh gambling"" but you just want the entire system removed and Blizz to give you all the items? Because the most likely scenario would be Blizz removing purchases and leaving the lootbox system as a progression system which still doesn't give you ""the right to dress up my imaginary toons in the way the fits my interests."""
"215","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:28 AMPosted by Overjoyed12/22/2017 11:21 AMPosted by MocrenI want my right to dress up my imaginary toons in the way the fits my interests. COSMETICS DO MATTER YOU IGNORAMUSES!You don't need to be obnoxious, no here said they don't matter. Most people argue against being able to purchase lootboxes since ""muh gambling"" but you just want the entire system removed and Blizz to give you all the items? Because the most likely scenario would be Blizz removing purchases and leaving the lootbox system as a progression system which still doesn't give you ""the right to dress up my imaginary toons in the way the fits my interests."" If they got rid of free loot boxes, then I would imagine that it's because activation blizzard realized that they were not making money from it."
"216","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"I buy lootboxes on the rare occasion. I spent $10 on them during this event. I see it as a viable way to continue support of a game I really like...most games I'd be buying DLC if I played it as much as I play Overwatch."
"217","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:25 AMPosted by Cazek12/22/2017 11:21 AMPosted by MocrenThis is why I can't stand when people bring up free loot boxes. I can't play overwatch like it's a full time job! And the ""have some patients there is always next year"". I'd rather not play the game so I don't have too look at the other players who DID get the skin I wanted to I don't have to swallow my sorrows, which in fact is the case right now. Before people say, ""okay, so you don't play overwatch then why are you here?"" I care about overwatch because I loved the game on release. It's the paid loot boxes that have ruined the experience for me. I want my right to dress up my imaginary toons in the way the fits my interests. COSMETICS DO MATTER YOU IGNORAMUSES!No, cosmetics add literally nothing to the gameplay itself.  You don't get an advantage just for having certain colored pixels. I suppose you assume that I just want pay to win to exist. I can assure you it's only because I'm a perv who wants to play as Widowmaker in a swim suit."
"218","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:14 AMPosted by KillLaChemIf this is gonna be a daily thing woth the same content is it considered spam? I think it is. #reported You know, I might be worth getting reported because then a blizzard employee will see the work I'm putting in to spread a message across. Good going buddy and thanks for the support!"
"219","https://us.battle.net/forums/en/overwatch/topic/20760746840","Reminder to hate paid loot boxes",NA,"12/22/2017 11:21 AMPosted by MocrenI can't play overwatch like it's a full time job!I don't. I have every skin I want save one.And the ""have some patients there is always next year"".*Paitence. Really, this is common sense.I'd rather not play the game so I don't have too look at the other players who DID get the skin I wanted to I don't have to swallow my sorrows, which in fact is the case right nowIf you're that bothered by not getting a skin you want, I would take a long, hard look at yourself. COSMETICS DO MATTER YOU IGNORAMUSES!Name calling. Classy. Glad to know we found the twelve year old."
"240","https://us.battle.net/forums/en/overwatch/topic/20760636779","Stop matching me with stacks and versus stacks","2017-12-22 02:35:00","10 games tonightNOT A SINGLE ONE WITHOUT A STACK ON BOTH TEAMSStopLiterally 50% of those stacks are elo boosting things"
"241","https://us.battle.net/forums/en/overwatch/topic/20760636779","Stop matching me with stacks and versus stacks",NA,"Same thing today.This is unbearable"
"244","https://us.battle.net/forums/en/overwatch/topic/20760626923","I'm still bad at the game","2017-12-22 19:45:00","So I just hit platinum last week or so, and I was feeling really proud of it, considering this is my first FPS ever (and I thought I would stay in gold forever). But then I go into quickplay and sometimes I get wrecked by a silver mccree with really good aim, or very low gold widows who are tough trouble for my team and...I look at myself and today I had an average of 22%-27% of accuracy with soldier, and I think: Should I really belong in platinum? I know around platinum to low gold it's kind of the same thing I guess, but is it really? Is this a way to prove the SR system is broken?"
"245","https://us.battle.net/forums/en/overwatch/topic/20760626923","I'm still bad at the game",NA,"There's more to this game than having good aim."
"246","https://us.battle.net/forums/en/overwatch/topic/20760626923","I'm still bad at the game",NA,"QP is nothing like ranked, and platinum is pretty bad so no, the ranking system is not broken for the reason you're suggesting.  You're not good and you're a low rank.  It's ok though, most of us are in the same boat :)"
"247","https://us.battle.net/forums/en/overwatch/topic/20760626923","I'm still bad at the game",NA,"I wouldn't consider myself to have fantastic accuracy but mines at 37%, bounds higher than yours.He's hitscan so you shouldn't be randomly shooting I'd think. What's your k:d?"
"252","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff","2017-12-20 19:24:00","A buff just popped into my head...What if Bastion could heal while shooting?"
"253","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"I love playing Bastion, i cannot wait for the day he spread, healing or mobility is buffed it will be like Christmas."
"254","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"12/20/2017 11:27 AMPosted by FedoraTheExpI love playing Bastion, i cannot wait for the day he spread, healing or mobility is buffed it will be like Christmas.RIP Beta-Bastion :("
"255","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"This will just ruin the game. Every single team on a payload map will just go bastion with a rein or orisa."
"256","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"I think he's good the way he is, the compositions he plays are very useful and difficult to fight if u dont have a tracer or junk, I dont think he needs a buff now."
"257","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"My favorite idea that I've come up with is mobility mode.Something akin to the d walker from mgs5.Can't heal.  Can't shoot.  Takes about the same time to transform atm.  Maybe Lucio level speed boost.Would let him fall back and set up in different positions easier with an opportunity cost and kinda encourages not to play pirate ship or protect the president."
"258","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"I would accept a smaller hitbox size, because right now i feel like Reinhardt shield."
"259","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"12/20/2017 11:45 AMPosted by DeadeyeI would accept a smaller hitbox size, because right now i feel like Reinhardt shield.idk hurt box seems fine to me"
"260","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"It wouldnt be fun for the enemy fighting bastion and it wouldn't solve the problems he has right now."
"261","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"Still think giving him immunity to crowd control inside of sentry would rectify his main issues and allow him to fill the niche he's meant to."
"262","https://us.battle.net/forums/en/overwatch/topic/20760656646","Bastion buff",NA,"To be honest, the buff that Bastion needs is to revert the previous changes to his ultimate, revert the changes made to his minigun spread, and give back headshots on his minigun."
"274","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat","2017-12-22 19:14:00","Mercy current pickrate is now at 15.95. %100 is 16.6. Trending to perfection.Trying to argue mercy isn't op is like trying to argue the earth is flat... All the statistical and scientific evidence is there but somehow we still try and argue the earth is indeed flat.Smh...."
"275","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"The Earth is flat, and Antarctica is an ice wall built entirely by Mei."
"276","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"What are the balance devs doing.  Like what was the point of changing Mercy if her pick rate is just going to go up."
"277","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"""The Earth is flat""Pls.Sure its. BC it just is right. Nvm the numbersDPS get gud learn how to aim.Just the other day I told flow3r to just shoot the ulting mercy. He didn't do it.Guess he just can't aim get good I guess."
"278","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"Mercy mains dominate this forum. They will never stop complaining that she needs buffs or that she was never really that strong despite the evidence to the contrary. She is 100% the best healer in the game right now with the best healing, the most impactful and insanely strong ultimate, and of course resses."
"279","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"[Non-Mercy support mains sighing in the distance]"
"280","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"The earth exist only in our cognition."
"281","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:15 AMPosted by MeleeniumThe Earth is flat, and Antarctica is an ice wall built entirely by Mei. Way too much Globebusters"
"282","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"The earth is flat !@#$%^- it! It just is okay! Back off!"
"283","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"And know why she's OP?REZ WILL NEVER be balanced as long as it is an ability; they need to revert her and start over from there.But will they? No. They're too prideful to do such a thing and will not change her because they think she's completely fine. She isn't fun, she's overpowered, and this game is suffering because of it. While they run about occasionally doing something about the game, they're focusing mainly on OWL.Why? Because money."
"284","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"the earth is flat?please.I thought we all knew it was square by now."
"285","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"Have you looked across the horizon it doesn't curve. I've drove from coast to coast and it was flat the entire way"
"286","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:18 AMPosted by AbusedTurtleMercy mains dominate this forum. They will never stop complaining that she needs buffs or that she was never really that strong despite the evidence to the contrary. She is 100% the best healer in the game right now with the best healing, the most impactful and insanely strong ultimate, and of course resses.There must be two groups of Mercy mains.  Most of the ones I see want her reverted to rez ult because they don't like the new playstyle.   Haven't seen any calls for buffs.  Have seen lots of ""can we stop nerfing Mercy"" threads."
"287","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:18 AMPosted by AbusedTurtleMercy mains dominate this forum. They will never stop complaining that she needs buffs or that she was never really that strong despite the evidence to the contrary. She is 100% the best healer in the game right now with the best healing, the most impactful and insanely strong ultimate, and of course resses.We aren't saying she needs buffs; we're saying she needs either a nerf or a revert. If they reverted her and started over from there; say, made her rez charge slower and made it line of sight required, it would be much better than what we currently have.Mercy also isn't fun to play; right now she's just;-Heal-Get ult-say no to people's picks-pop ult to win teamfight"
"288","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:26 AMPosted by righthere12/22/2017 11:18 AMPosted by AbusedTurtleMercy mains dominate this forum. They will never stop complaining that she needs buffs or that she was never really that strong despite the evidence to the contrary. She is 100% the best healer in the game right now with the best healing, the most impactful and insanely strong ultimate, and of course resses.There must be two groups of Mercy mains.  Most of the ones I see want her reverted to rez ult because they don't like the new playstyle.   Haven't seen any calls for buffs.  Have seen lots of ""can we stop nerfing Mercy"" threads.Exactly."
"289","https://us.battle.net/forums/en/overwatch/topic/20760696895","Mercy approaches %100 GM pickrate. The earth is flat",NA,"Just say no to bringing back that rubberbanding bs gameplay. This Mercy is significantly better from a gameplay perspective than old Mercy."
"290","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat","2017-12-22 19:30:00","12/22/2017 11:26 AMPosted by SirMemesterMercy also isn't fun to play; right now she's just;-Heal-Get ult-say no to people's picks-pop ult to win teamfightAs someone who's been playing her since S2 i really hate to break it to you, but that is literally what Old Mercy did."
"291","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"They should just shorten the Mercy ult to 10 seconds and give 2 res.Then change E from res to a burst heal/dmg for 4 secs or something."
"292","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:26 AMPosted by SirMemesterMercy also isn't fun to play; right now she's just;-Heal-Get ult-say no to people's picks-pop ult to win teamfightAs someone who's been playing her since S2 i really hate to break it to you, but that literally was that Old Mercy did.As have I, good sir. I got the game on September 1, 2016; the day Season 2 started. Like I've said; they need to revert her but make it so she isn't a rezbot: give her ult a slower charge time and make it Line of Sight.Maybe give her an E ability that's like Valkyrie; for example she can fly for about 5 seconds or so on her own, but without the increased healing and damage boost buffs. Without the pistol change. Just her being able to regularly fly for 5 seconds with like a 12-14 second cooldown."
"293","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:14 AMPosted by Riplaaah%100 is 16.6I've been doing math for like 20 years but I'm gonna need explanations on this one"
"294","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"I don't know if little tweaks are going to fix the flat earth. U may need to bend the entire thing into a sphere type shape thingy"
"295","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"Lower Valkyrie duration from 20 to 10-15 seconds, after that I can't think what they can change without utterly ruining her. If she's still picked as much as now, revert or buff up the other supports."
"296","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:37 AMPosted by Amir12/22/2017 11:14 AMPosted by Riplaaah%100 is 16.6I've been doing math for like 20 years but I'm gonna need explanations on this oneOne hero limit6 heroes per team"
"297","https://us.battle.net/forums/en/overwatch/topic/20760696895?page=2#post-36","Mercy approaches %100 GM pickrate. The earth is flat",NA,"12/22/2017 11:37 AMPosted by Amir12/22/2017 11:14 AMPosted by Riplaaah%100 is 16.6I've been doing math for like 20 years but I'm gonna need explanations on this one6 slots on a team. 1/6 = 16.666.I've been mathing horizons for over 20 years and it never looked curve Ed duhd"
